,Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
1469,,39240816,Straada,Women,Dresses,Apparel,Dress,Dresses,3000,1875,1125,1.0,(38% OFF),500.0,1375.0,0.0,0,0,50,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2026,,,recommended
1470,,32501975,Marks & Spencer,Women,Dresses,Apparel,Dress,Dresses,5999,3299,2700,1.0,(45% OFF),500.0,2799.0,4.30000019073486,10,0,4,True,"XS,S,M,L,XL,XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 12,recommended
1471,,37339401,H&M,Women,Dresses,Apparel,Dress,Dresses,2299,2299,0,1.0,,500.0,1799.0,3.89655160903931,29,0,7,True,"XXS,XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 11,recommended
1472,,21198228,MANGO,Women,Dresses,Apparel,Dress,Dresses,6790,3395,3395,1.0,(50% OFF),500.0,2895.0,4.4038462638855,52,0,5,True,"S,M,L",True,2026-01-10,Spring,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 12,recommended
1473,,39155301,DressBerry,Women,Dresses,Apparel,Dress,Dresses,3899,1949,1950,1.0,(50% OFF),500.0,1449.0,0.0,0,0,100,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2025,,,recommended
1474,,37631496,H&M,Women,Dresses,Apparel,Dress,Dresses,2299,2299,0,1.0,,500.0,1799.0,4.19999980926514,5,0,15,True,"XXS,XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 11,recommended
1475,,37517083,SASSAFRAS Curve,Women,Dresses,Apparel,Dress,Dresses,3999,1919,2080,1.0,(Rs. 2080 OFF),500.0,1419.0,4.14516115188599,62,0,8,True,"XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Winter,True,Myntra_Unique,True,2025,,,recommended
1476,,26166882,Globus,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,1999,1156,843,1.0,(42% OFF),350.0,806.0,4.02941179275513,68,0,57,True,"S,M,L,XL",True,2026-01-10,Winter,False,Festive_Price_Crash|GST_Benefit_Included,True,2023,EXPRESS,Delivery By Jan 13,recommended
1477,,38968453,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3099,3099,0,,,500.0,2599.0,0.0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,,recommended
1479,,34295558,bebe,Women,Dresses,Apparel,Dress,Dresses,4699,1691,3008,1.0,(64% OFF),500.0,1191.0,3.59999990463257,10,0,101,True,"S,M,L,XL",True,2026-01-10,Summer,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 12,recommended
1480,,33434458,Antheaa,Women,Dresses,Apparel,Dress,Dresses,3099,1580,1519,1.0,(49% OFF),474.0,1106.0,4.10256433486939,39,0,26,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Crazy_Deal|GST_Benefit_Included|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 12,recommended
