,product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
4812,27769430,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1.0,(Rs. 2225 OFF),96.0,178.0,4.1875,128,0,12,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 14,discount
4813,33114916,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.5,88,0,2,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 17,discount
4814,33112890,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.40983629226685,61,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4815,33115089,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.26171016693115,1345,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4816,33115100,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.50574731826782,87,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4817,33114867,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.51162767410278,86,0,18,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 15,discount
4818,33115087,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.44933938980103,227,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4819,33112909,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.28787899017334,66,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4820,33115105,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.2620997428894,1343,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Festive_Price_Crash,True,2025,,,discount
4821,33115077,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.44933938980103,227,0,2,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,EXPRESS,Delivery By Jan 15,discount
4822,33115103,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(Rs. 2683 OFF),111.0,205.0,4.44690275192261,226,0,1500,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2025,,,discount
4823,37297712,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(89% OFF),111.0,205.0,4.3125,16,0,24,True,"S,M,L,XL,XXL",True,2026-01-14,Winter,True,,False,2025,,,discount
4824,37297708,PURVAJA,Women,Dresses,Apparel,Dress,Dresses,2999,316,2683,1.0,(89% OFF),111.0,205.0,4.10526323318482,19,0,26,True,"S,M,L,XL,XXL",True,2026-01-14,Winter,True,,False,2025,,,discount
4825,11309206,Cation,Women,Dresses,Apparel,Dress,Dresses,4299,453,3846,1.0,(89% OFF),159.0,294.0,4.11627912521362,43,0,17,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,,False,2020,EXPRESS,Delivery By Jan 17,discount
4826,33476959,Janasya,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3549,374,3175,1.0,(89% OFF),131.0,243.0,0.0,0,0,34,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,False,,False,2025,,,discount
4827,33476916,Janasya,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3549,374,3175,1.0,(89% OFF),131.0,243.0,0.0,0,0,24,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,False,,False,2025,,,discount
4828,30520610,Selvia,Women,Dresses,Apparel,Dress,Dresses,2348,248,2100,1.0,(89% OFF),87.0,161.0,0.0,0,0,6,True,"S,M,L,XL",True,2026-01-14,Fall,False,Crazy_Deal|Festive_Price_Crash,True,2024,,,discount
4829,30520602,Selvia,Women,Dresses,Apparel,Dress,Dresses,2348,248,2100,1.0,(89% OFF),87.0,161.0,3.20000004768372,10,0,17,True,"S,M,L,XL",True,2026-01-14,Fall,True,,False,2024,,,discount
